author,title,journal,vol,page,year_zh,year_en,doi,comment,Column1,_1,_2
"Xiao-Long Zhang, Hui Li, R. J. Le Roy, P.-N. Roy","Microwave and Infrared Spectra of CO-(pH<sub>2</sub>)<sub>2</sub>, CO-(oD<sub>2</sub>)<sub>2</sub>, and Mixed CO-pH<sub>2</sub>-He Trimers",Theor. Chem. Acc.,133,1568,2014,2014,10.1007/s00214-014-1568-4,(A Paper Invited for Guosen Yan Special Issue),,,
"N. Faruk, M. Schmidt, Hui Li, R. J. Le Roy, P.-N. Roy",First Principle Prediction of the Raman shifts of parahydrogen clusters,J. Chem. Phys.,141,14310,2014,2014,10.1063/1.4885275,,,,
"Yong-Tao Ma, Tao Zeng, Hui Li",Analytic Morse/Long-Range Potential Energy Surface and Predicted Infrared and Microwave Spectra for a Symmetric Top-atom dimer: a Case study of CH<sub>3</sub>F-He,J. Chem. Phys.,140,214309,2014,2014,10.1063/1.4879956,,,,
*,,,,,2013,2013,,,,,
"Hui Li, Xiao-Long Zhang, Robert J. Le Roy, Pierre-Nicholas Roy",“Analytic Morse/Long-Range Potential Energy Surface and Predicted Infrared Spectra for CO-H<sub>2</sub> dimer and frequencyshifts of CO in(para-H<sub>2</sub>)N N=1-20 clusters,J. Chem. Phys.,139,164315,2013,2013,10.1063/1.4826595,,,,
"T. Zeng, Hui Li, P.-N. Roy",Simulating Asymmetric Top Impurities in Superfluid Clusters: a Para-Water Dopant in Para Hydrogen,J. Phys. Chem. Lett.,4,18,2013,2013,10.1021/jz3017705,,,,
*,,,,,2012,2012,,,,,
"Hui Li, Yong-Tao Ma",An Intramolecular Vibrationally Excited Intermolecular Potential for He-OCS: Globally Tested by Simulation of Vibrational Shifts for OCS in HeN N=1-100 Clusters,J. Chem. Phys.,137,234310,2012,2012,10.1063/1.4772186,,,,
"C. Ing, K. Hinsen, J.Yang, T. Zeng, Hui Li, P.-N. Roy",A Path-Integral Langevin Equation Treatment of Low-temperature Doped Helium Clusters,J. Chem. Phys.,136,224309,2012,2012,10.1063/1.4726507,,,,
"P. L. Raston, W. Jager, Hui Li, Robert J. Le Roy, Pierre-Nicholas Roy",Persistent Molecular Superfluid Responsein Doped para-Hydrogen Clusters,Phys. Rev. Lett.,108,253402,2012,2012,10.1103/PhysRevLett.108.253402,,,,
*,,,,,2011,2011,,,,,
"Tao Zeng, Hui Li, Robert J. Le Roy, Pierre-Nicholas Roy","Adiabatic Hindered-Rotor Treatment of Parahydrogen-Water Complex,",J. Chem. Phys.,135,94304,2011,2011,10.1063/1.3626840,,,,
"Lecheng Wang, Daiqian Xie, Hua Guo, Hui Li, R. J. Le Roy, P.-N. Roy",Superfluid Response of 4HeN-N<sub>2</sub>O Clusters Probed by Path Integral Monte Carlo Simulations,J. Mol. Spectrosc.,267,126,2011,2011,10.1016/j.jms.2011.03.007,(A Paper Invited for Bunker and McKellar Special Issue),,,
"Hui Li, A.R.W. McKellar, Robert J. Le Roy, Pierre-Nicholas Roy",Theoretical and Experimental Study of the Weakly Bound (p-H<sub>2</sub>)<sub>2</sub>-CO<sub>2</sub> Trimer,J. Phys. Chem. A,115,7327,2011,2011,10.1021/jp200810f,(A Paper Invited for Toennies Special Issue),,,
"Robert J. Le Roy, Carl C. Haugen, Jason Tao, Hui Li",Long-Range Damping Functions Improve the Short-Range Behaviour of ‘MLR’ Potential Energy Functions,Mol. Phys.,109,435,2011,2011,10.1080/00268976.2010.527304,,,,
*,,,,,2010,2010,,,,,
"Hui Li, Robert J. Le Roy, Pierre-Nicholas Roy, A.R.W. McKellar",Molecular Superfluid: Nonclassical Rotations in Doped Para-Hydrogen Clusters,Phys. Rev. Lett.,105,133401,2010,2010,10.1103/PhysRevLett.105.133401,"<div class=""alert alert-success"" role=""alert""><p>Selected as an Editors’ Suggestion (Papers the editors and referees find of particular interest, importance,or clarity)</p><p>Selected for a Synopsis by ‘<em>Physics</em>’ (physics.aps.org)</p><p>An article about our work appears in <em>The New Scientist</em></p></div>",,,
"Hui Li, Pierre-Nicholas Roy, Robert J. Le Roy",'Adiabatic-Hindered-Rotor' Treatment Allows para-H2 to Be Treated as If It Were Spherical,J. Chem. Phys.,133,104305,2010,2010,10.1063/1.3476465,,,,
"Hui Li, Yongdong Liu, Wolfgang Jager, Robert J. Le Roy, Pierre-Nicholas Roy",Theoretical Study of the Microwave Spectrum of Isotopologues of OCS-(He)<sub>2</sub>,Can. J. Chem.,88,1146,2010,2010,10.1139/V10-116,(A Paper Invited for Boyd Special Issue),,,
"Hui Li, Pierre-Nicholas Roy, Robert J. Le Roy",Analytic Morse/long-range Potential Energy Surface and Predicted Infrared Spectra for CO<sub>2</sub>-H<sub>2</sub>,J. Chem. Phys,132,214309,2010,2010,10.1063/1.3428619,,,,
*,,,,,2010 前,Pre-2010,,,,,
"Hui Li, Nicholas Blinov, Pierre-Nicholas Roy, Robert J. Le Roy","PIMC Simulation of v<sub>3</sub> Vibrational Shifts for CO<sub>2</sub> in (He)n Cluster, Critically Test the He-CO<sub>2</sub> Potential Energy Surface",J. Chem. Phys.,130,144305,2009,2009,10.1063/1.3109897,,,,
"Hui Li, Robert J. Le Roy, Frederick R. W. McCourt",Bound States and Predicted Microwave Spectrum of N<sub>2</sub>-He van der Waals Complexes,J. Chem. Phys.,130,244503,2009,2009,10.1063/1.3157776,,,,
"Gangfeng Ouyang, Jibao Cai, Xu Zhang, Hui Li, Janusz Pawliszyn",Standard-Free Kinetic Calibration for Rapid On-Site Analysis by Solid-Phase Microextraction,J. Sep. Sci.,31,1167,2008,2008,10.1002/jssc.200700495,,,,
"Hui Li, Tsuneo Hirano, Takayoshi Amano, Robert J. Le Roy",Pathways and Reduced-Dimension Five-Dimensional Potential Energy Surface for the Reaction H<sub>3</sub><sup>+</sup> + CO →H<sub>2</sub> + HCO<sup>+</sup> and H<sub>3</sub><sup>+</sup> + CO<sup>+</sup>→ H<sub>2</sub> + HOC<sup>+</sup>,J. Chem. Phys.,129,244306,2008,2008,10.1063/1.3041494,,,,
"Hui Li, Robert J. Le Roy","Analytic Three-Dimensional MLR Potential Energy Surface for CO<sub>2</sub>–He, and Its Predicted Microwave and Infrared Spectra",Phys. Chem. Chem. Phys.,10,4128,2008,2008,10.1039/B800718G,,,,
"Hui Li, Robert J. Le Roy",Quadrupole Moment Function and Absolute Infrared Quadrupolar Intensities for N<sub>2</sub>,J. Chem. Phys.,126,224301,2007,2007,10.1063/1.2739524,,,,
"Hui Li, Robert J. Le Roy","Spectroscopic Properties of MgH<sub>2</sub>, MgD<sub>2</sub> and MgHD Calculated from a New ab initio Potential Energy Surface",J. Phys. Chem. A,111,6248,2007,2007,10.1021/jp072510m,,,,
"Hui Li, Robert J. Le Roy","An Accurate ab initio Potential Energy Surface and Calculated Spectroscopic Constants for BeH<sub>2</sub>, BeD<sub>2</sub> and BeHD",J. Chem. Phys.,125,44307,2006,2006,10.1063/1.2212933,,,,
"Hui Li, Daiqian Xie, Hua Guo",A reliable ab initio potential energy surface and vibrational states for the ground electronic state of HgH<sub>2</sub>(1 <sup>1</sup>Σ<sub>g</sub><sup>+</sup>),J. Chem. Phys.,122,144314,2005,2005,10.1063/1.1876132,,,,
"Hui Li, Daiqian Xie, Hua Guo",An ab initio potential energy surface and vibrational states of MgH<sub>2</sub>(1 <sup>1</sup>A'),J. Chem. Phys.,121,4156,2004,2004,10.1063/1.1777215,,,,
"Hui Li, Daiqian Xie, Hua Guo",An ab initio potential energy surface and predissociative resonances of HArF,J. Chem. Phys.,120,4273,2004,2004,10.1063/1.1643714,,,,
